Marca_Modelo,Versiones,TopTransmisiones,TopLocations,anchor_MM,n
Mini Cooper,"['1.5 COOPER CHILI', '1.5 COOPER CHILI CONNECTED EDITION DCT', '1.5 COOPER CHILI DCT', '1.5 COOPER CLASSIC', '1.5 COOPER CLASSIC DCT', '1.5 COOPER CONVERTIBLE ICONIC DCT', '1.5 COOPER CONVERTIBLE PEPPER DCT', '1.5 COOPER ESSENTIAL', '1.5 COOPER PEPPER', '1.5 COOPER PEPPER DCT', '1.5 COOPER RESOLUTE DCT', '1.5 COOPER SALT', '1.5 COOPER SALT AUTO', '1.5 COOPER SALT DCT', 'BEV 33KWH COOPER SE CLASSIC AUTO', 'BEV 33KWH COOPER SE ICONIC AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Monterrey', 'Guadalajara', 'Puebla', 'Querétaro']",484080.0,111
Mini Cooper Clubman,"['1.5 COOPER CLUBMAN CLASSIC DCT', '2.0 COOPER S CLUBMAN ICONIC DCT']",['Automático'],"['Monterrey', 'Puebla']",316000.0,2
Mini Cooper S,"['2.0 COOPER S CHILI', '2.0 COOPER S CHILI DCT', '2.0 COOPER S CLASSIC', '2.0 COOPER S CLASSIC DCT', '2.0 COOPER S CONVERTIBLE HOT CHILI DCT', '2.0 COOPER S CONVERTIBLE ICONIC DCT', '2.0 COOPER S ESSENTIAL DCT', '2.0 COOPER S HOT CHILI DCT', '2.0 COOPER S RESOLUTE DCT', '2.0 COOPER S SALT', '2.0 COOPER S SALT DCT']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Querétaro', 'Puebla', 'Cuernavaca']",463520.0,67
Mini Countryman,"['1.5 COOPER CHILI AUTO', '1.5 COOPER CLASSIC AUTO', '1.5 COOPER PHEV ALL4 AUTO 4WD', '1.5 COOPER SE PHEV ALL4 AUTO 4WD', '1.5 COOPER UNTAMED AUTO', '2.0 COOPER S CHILI AUTO', '2.0 COOPER S HOT CHILI DCT', '2.0 COOPER S ICONIC DCT', '2.0 COOPER S SPORT AUTO', '2.0 JOHN COOPER WORKS 4WD AUTO']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Monterrey', 'Querétaro', 'Cuernavaca']",487520.0,45
Mini John Cooper Works,"['2.0 CLUBMAN ICONIC 4WD AUTO', '2.0 CLUBMAN ICONIC AUTO', '2.0 COOPER ICONIC AUTO', '2.0 COUNTRYMAN ICONIC 4WD AUTO', '2.0 JOHN COOPER WORKS ALL4 AUTO', '2.0 JOHN COOPER WORKS HOT CHILI AUTO', '2.0 JOHN COOPER WORKS ICONIC']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Monterrey', 'Querétaro']",651200.0,29
Mitsubishi Eclipse Cross,"['1.5 GLS CVT', '1.5 LIMITED S-AWC CVT 4WD']",['Automático'],['Ciudad de México'],273600.0,2
Mitsubishi L200,"['2.4 GLS DIESEL AUTO 4WD', '2.4 GLS GASOLINA', '2.4 GLX DIESEL 4WD', '2.4 GLX GASOLINA', '2.4 LIMITED DIESEL AUTO 4WD', '2.5 GLS DIESEL 4WD']","['Manual', 'Automático']","['Ciudad de México', 'Monterrey', 'Querétaro', 'Guadalajara', 'Puebla']",543200.0,21
Mitsubishi Mirage,"['1.2 GLS', '1.2 GLS CVT', '1.2 GLX', '1.2 GLX CVT']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Querétaro', 'Monterrey']",193600.0,40
Mitsubishi Montero,"['3.0 ES AUTO', '3.0 SE AUTO 4WD', '3.0 SE PLUS AUTO 4WD']",['Automático'],"['Ciudad de México', 'Querétaro', 'Monterrey', 'Guadalajara']",434400.0,7
Mitsubishi Outlander,"['2.0 PHEV LIMITED AUTO 4WD', '2.4 LIMITED CVT', '2.4 PHEV LIMITED AUTO 4WD', '2.4 SE CVT', '2.4 SE PLUS CVT']",['Automático'],"['Ciudad de México', 'Querétaro']",318400.0,13
Mitsubishi Xpander,"['1.5 CROSS AUTO', '1.5 GLS AUTO', '1.5 LIMITED AUTO']",['Automático'],"['Ciudad de México', 'Puebla', 'Querétaro', 'Guadalajara']",300480.0,19
Nissan Altima,"['2.0 EXCLUSIVE TURBO AUTO', '2.0 EXCLUSIVE TURBO CVT', '2.0 SR TURBO CVT', '2.5 ADVANCE AUTO', '2.5 ADVANCE CVT', '2.5 SENSE CVT', '2.5 SR AUTO']",['Automático'],"['Ciudad de México', 'Monterrey', 'Guadalajara', 'Querétaro', 'Cuernavaca']",438112.0,18
Nissan Armada,['5.6 EXCLUSIVE AUTO 4WD'],['Automático'],['Ciudad de México'],449600.0,1
Nissan Frontier,"['2.5 LE', '2.5 LE AUTO', '2.5 PLATINUM LE AUTO', '2.5 PRO-4X AUTO 4WD', '2.5 SE', '4.0 PRO 4X CREW CAB AUTO 4WD']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Querétaro', 'Puebla', 'Monterrey']",499920.0,47
Nissan Kicks,"['1.2 HEV ADVANCE E-POWER', '1.2 HEV EXCLUSIVE E-POWER', '1.2 HEV PLATINUM E-POWER', '1.6 ADVANCE LTS', '1.6 ADVANCE LTS CVT', '1.6 ADVANCE LTS PAQ SEG CVT', '1.6 ADVANCE LTS XTRONIC', '1.6 EXCLUSIVE BI-TONO LTS XTRONIC', '1.6 EXCLUSIVE LTS CVT', '1.6 EXCLUSIVE LTS XTRONIC', '1.6 PLATINUM BI-TONO LTS XTRONIC', '1.6 PLATINUM LTS XTRONIC', '1.6 SENSE LTS']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Puebla', 'Cuernavaca', 'Querétaro']",349600.0,107
Nissan Kicks Play,"['1.2 HEV ADVANCE E-POWER', '1.2 HEV E-POWER PLATINUM AUTO', '1.2 HEV PLATINUM E-POWER', '1.6 ADVANCE', '1.6 ADVANCE LTS', '1.6 ADVANCE LTS XTRONIC']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara']",384720.0,10
Nissan Leaf,['BEV 40KWH SL BI-TONE'],['Automático'],['Monterrey'],333200.0,2
Nissan March,"['1.6 ACTIVE', '1.6 ACTIVE ABS', '1.6 ADVANCE', '1.6 ADVANCE AUTO', '1.6 EXCLUSIVE', '1.6 EXCLUSIVE AUTO', '1.6 EXCLUSIVE BI-TONO AUTO', '1.6 MARCH SR NAVI', '1.6 SENSE', '1.6 SENSE AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Querétaro', 'Monterrey', 'Puebla']",219760.0,181
Nissan Maxima,"['3.5 ADVANCE CVT', '3.5 EXCLUSIVE X-TRONIC']",['Automático'],['Ciudad de México'],266400.0,4
Nissan Murano,"['3.5 ADVANCE AUTO', '3.5 EXCLUSIVE AUTO 4WD']",['Automático'],"['Ciudad de México', 'Querétaro']",256000.0,7
Nissan NP300,"['2.5 ATTACK DIESEL AUTO 4WD', '2.5 CHASIS CABINA DH AC PAQ. SEG', '2.5 DOBLE CABINA DIESEL AC PAQ 4WD', '2.5 DOBLE CABINA DIESEL AC PAQ S MT 4WD', '2.5 DOBLE CABINA S AC PAQ. SEG.', '2.5 DOBLE CABINA S TM AC PAQ. SEG.', '2.5 DOBLE CABINA SE AC PAQ SEG', '2.5 DOBLE CABINA SE TM AC PAQ SEG', '2.5 LE AC', '2.5 LE MIDNIGHT EDITION AC', '2.5 LE TM AC', '2.5 NP300 CHASIS CABINA', '2.5 NP300 CHASIS CABINA AC', '2.5 NP300 PICK UP', '2.5 PICK UP DH AC PAQ. SEG.', '2.5 PICK UP TM DH AC PAQ. SEG. 6VEL', '2.5 PLATINUM LE AC', '2.5 PLATINUM LE TM AC']","['Manual', 'Automático']","['Ciudad de México', 'Guadalajara', 'Puebla', 'Querétaro', 'Monterrey']",344480.0,68
Nissan NV350 Urvan,"['2.5 12 PASAJEROS A/A PAQ SEG', '2.5 12 PASAJEROS A/A PAQ SEG/TPMS', '2.5 15 PASAJEROS AMPLIA A/A PAQ SEG', '2.5 PANEL AMPLIA A/A PAQ SEG', '2.5 PANEL AMPLIA AA', '2.5 PANEL VENTANAS AMPLIA']",['Manual'],"['Ciudad de México', 'Guadalajara', 'Puebla']",445600.0,11
Nissan Note,['1.6 SR AUTO'],['Automático'],['Ciudad de México'],154400.0,1
Nissan Pathfinder,"['3.5 ADVANCE AUTO', '3.5 ADVANCE XTRONIC', '3.5 EXCLUSIVE AUTO', '3.5 EXCLUSIVE AUTO 4WD']",['Automático'],"['Ciudad de México', 'Puebla', 'Querétaro']",317600.0,6
Nissan Sentra,"['1.6 NISMO', '1.8 ADVANCE', '1.8 ADVANCE AUTO', '1.8 EXCLUSIVE AUTO', '1.8 SENSE', '1.8 SENSE AUTO', '2.0 ADVANCE', '2.0 ADVANCE AUTO', '2.0 ADVANCE CVT', '2.0 EXCLUSIVE AUTO', '2.0 EXCLUSIVE BITONO AUTO', '2.0 EXCLUSIVE BITONO CVT', '2.0 EXCLUSIVE CVT', '2.0 SENSE', '2.0 SENSE AUTO', '2.0 SENSE CVT', '2.0 SR', '2.0 SR BITONO AUTO', '2.0 SR BITONO CVT', '2.0 SR CVT', '2.0 SR PLATINUM BITONO CVT', '2.0 SR PLATINUM CVT']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Puebla', 'Cuernavaca', 'Monterrey']",297600.0,164
Nissan V-Drive,"['1.6 V-DRIVE', '1.6 V-DRIVE A/C', '1.6 V-DRIVE A/C AUDIO']",['Manual'],"['Ciudad de México', 'Monterrey', 'Puebla', 'Cuernavaca', 'Guadalajara']",208000.0,49
